Tube Number,Rep,Water Level,Cultivar
101,1,60%,S32
102,1,60%,S35
103,1,60%,S38
104,1,60%,S40
105,1,80%,S32
106,1,80%,S35
107,1,80%,S38
108,1,80%,S40
109,1,100%,S32
110,1,100%,S35
111,1,100%,S38
112,1,100%,S40
113,1,120%,S32
114,1,120%,S35
115,1,120%,S38
116,1,120%,S40
201,2,60%,S32
202,2,60%,S35
203,2,60%,S38
204,2,60%,S40
205,2,80%,S32
206,2,80%,S35
207,2,80%,S38
208,2,80%,S40
209,2,100%,S32
210,2,100%,S35
211,2,100%,S38
212,2,100%,S40
213,2,120%,S32
214,2,120%,S35
215,2,120%,S38
216,2,120%,S40
301,3,60%,S32
302,3,60%,S35
303,3,60%,S38
304,3,60%,S40
305,3,80%,S32
306,3,80%,S35
307,3,80%,S38
308,3,80%,S40
309,3,100%,S32
310,3,100%,S35
311,3,100%,S38
312,3,100%,S40
313,3,120%,S32
314,3,120%,S35
315,3,120%,S38
316,3,120%,S40
401,4,60%,S32
402,4,60%,S35
403,4,60%,S38
404,4,60%,S40
405,4,80%,S32
406,4,80%,S35
407,4,80%,S38
408,4,80%,S40
409,4,100%,S32
410,4,100%,S35
411,4,100%,S38
412,4,100%,S40
413,4,120%,S32
414,4,120%,S35
415,4,120%,S38
416,4,120%,S40